time,group,numsprays,area,numcolonies,avgarea
0.0,B,6,4027.0,19,211.94736842105263
0.0,A,6,0,0,0
0.0,A,0,4648.5,33,140.86363636363637
0.0,B,0,3007.5,24,125.3125
0.0,B,3,2156.5,19,113.5
0.0,A,3,2614.0,23,113.65217391304348
0.0,B,9,373.0,1,373.0
0.0,A,9,4431.5,19,233.23684210526315
1800.0,B,6,3922.5,20,196.125
1800.0,A,6,0,0,0
1800.0,A,0,4137.0,24,172.375
1800.0,B,0,3273.5,24,136.39583333333334
1800.0,B,3,1918.5,15,127.9
1800.0,A,3,2754.5,37,74.44594594594595
1800.0,B,9,0,0,0
1800.0,A,9,4732.5,20,236.625
3602.0,B,6,5061.5,22,230.0681818181818
3602.0,A,6,0,0,0
3602.0,A,0,5149.0,34,151.44117647058823
3602.0,B,0,4268.5,24,177.85416666666666
3602.0,B,3,6143.5,29,211.8448275862069
3602.0,A,3,4589.5,34,134.98529411764707
3602.0,B,9,856.5,1,856.5
3602.0,A,9,5642.5,25,225.7
5403.0,B,6,4334.0,16,270.875
5403.0,A,6,0,0,0
5403.0,A,0,5346.5,31,172.46774193548387
5403.0,B,0,4103.0,24,170.95833333333334
5403.0,B,3,5678.5,28,202.80357142857142
5403.0,A,3,4417.0,28,157.75
5403.0,B,9,0,0,0
5403.0,A,9,5971.5,28,213.26785714285714
7205.0,B,6,4429.5,21,210.92857142857142
7205.0,A,6,0,0,0
7205.0,A,0,4940.0,26,190.0
7205.0,B,0,4258.0,24,177.41666666666666
7205.0,B,3,5874.0,36,163.16666666666666
7205.0,A,3,3891.5,27,144.12962962962962
7205.0,B,9,0,0,0
7205.0,A,9,5512.0,28,196.85714285714286
9007.0,B,6,4299.0,20,214.95
9007.0,A,6,0,0,0
9007.0,A,0,4981.0,34,146.5
9007.0,B,0,4144.5,27,153.5
9007.0,B,3,5809.0,31,187.38709677419354
9007.0,A,3,4114.5,30,137.15
9007.0,B,9,0,0,0
9007.0,A,9,5951.5,29,205.22413793103448
10808.0,B,6,4152.5,14,296.60714285714283
10808.0,A,6,0,0,0
